brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
Other,limited_model,2014,2.0,4Cyl,automatic,Hybrid,blue,78568,None reported,15500
Ford,Transit-350 XL,2018,3.7,V6,automatic,E85 Flex Fuel,white,95000,None reported,43000
Porsche,limited_model,2018,3.8,H6,7-speed auto,Gasoline,black,4529,None reported,417500
Ford,limited_model,2021,2.3,4Cyl,10-speed auto,Gasoline,grey,25240,Damage reported,39951
Other,XC90 3.2,2011,3.2,I6,automatic,Gasoline,blue,88300,Damage reported,11500
Chevrolet,limited_model,2013,5.3,V8,6-speed auto,E85 Flex Fuel,silver,98000,Damage reported,27499
Audi,limited_model,2018,2.5,5Cyl,automatic,Gasoline,grey,20675,None reported,76000
Other,limited_model,2008,5.4,V8,automatic,Gasoline,black,95000,None reported,10900
Hyundai,limited_model,2010,2.0,4Cyl,automatic,Gasoline,blue,107000,Damage reported,6250
Audi,SQ5 3.0T Premium Plus,2016,3.0,V6,automatic,Gasoline,black,60000,Damage reported,24700
Other,Lancer Evolution GSR,2012,2.0,4Cyl,6-speed manual,Gasoline,black,33000,None reported,34999
Tesla,Model Y Performance,2023,0.0,,automatic,,black,500,None reported,60000
Mercedes-Benz,Maybach S S 600,2016,6.0,12Cyl,7-speed auto,Gasoline,white,108500,None reported,63500
Nissan,GT-R Premium,2017,3.8,V6,automatic,Gasoline,N/A,37800,None reported,149500
Mercedes-Benz,GLS 550 Base 4MATIC,2018,4.7,,automatic,Gasoline,black,74422,None reported,44798
Chevrolet,limited_model,2019,3.6,V6,9-speed auto,Gasoline,silver,55621,None reported,34562
Mazda,CX-9 Grand Touring,2021,2.5,4Cyl,6-speed auto,Gasoline,silver,46707,Damage reported,32541
Ford,Expedition Max Limited,2022,3.5,V6,automatic,Gasoline,white,26500,None reported,65900
Nissan,Titan XD SV,2020,5.6,V8,9-speed auto,Gasoline,black,10001,None reported,47214
Lexus,LX 570 Three-Row,2019,5.7,V8,8-speed auto,Gasoline,black,19050,None reported,76900
Chevrolet,Traverse Premier,2020,3.6,V6,automatic,Gasoline,white,52000,None reported,35800
Mercedes-Benz,Sprinter High Roof,2014,3.0,V6,7-speed auto,Diesel,black,65000,Damage reported,54999
